position,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
center,"0.47243621945381165,0.3296296000480652,-0.43376976251602173","0.492265909910202,0.27595585584640503,-0.39306020736694336","0.503583550453186,0.2767942547798157,-0.39279434084892273","0.5137187838554382,0.2785492241382599,-0.39274781942367554","0.45756712555885315,0.28030556440353394,-0.39229172468185425","0.4457332491874695,0.2834322452545166,-0.39205750823020935","0.43528464436531067,0.2864328622817993,-0.39239829778671265","0.5285869240760803,0.3160196840763092,-0.1412804126739502","0.41671571135520935,0.3217485845088959,-0.12685652077198029","0.4955929219722748,0.39131468534469604,-0.34014448523521423","0.45266860723495483,0.3920900821685791,-0.340088427066803","0.6234472393989563,0.6577240824699402,-0.020485125482082367","0.3270886242389679,0.5846858620643616,-0.09036903828382492","0.6627565622329712,1.0186396837234497,-0.0015416707610711455","0.17229847609996796,0.9004042744636536,-0.46269580721855164","0.6649781465530396,1.3802660703659058,-0.1814790666103363","0.2837504744529724,0.6953163146972656,-1.020658254623413","0.6745488047599792,1.5057928562164307,-0.23183663189411163","0.2998034358024597,0.6153258681297302,-1.135692834854126","0.6441372632980347,1.476533055305481,-0.26597774028778076","0.3208644688129425,0.5729460716247559,-1.0919458866119385","0.6350422501564026,1.4324018955230713,-0.20471014082431793","0.32813844084739685,0.6016024947166443,-1.015842318534851","0.563451886177063,1.3412545919418335,-0.0031098860781639814","0.34613046050071716,1.3329668045043945,0.005899372044950724","0.5605518221855164,1.9226042032241821,-0.031739864498376846","0.36402660608291626,1.92646324634552,0.048793066293001175","0.5495644807815552,2.458700656890869,0.313801109790802","0.3619908094406128,2.458650827407837,0.3316022455692291","0.5531906485557556,2.5313665866851807,0.3233620226383209","0.35411855578422546,2.528733730316162,0.3506912291049957","0.521711528301239,2.6352152824401855,-0.07001223415136337","0.3888522684574127,2.642401933670044,-0.08883137255907059"
center,"0.4721066653728485,0.32689887285232544,-0.4338214099407196","0.4919223487377167,0.27328410744667053,-0.393526554107666","0.5032995343208313,0.27400675415992737,-0.3932737410068512","0.5134746432304382,0.27570396661758423,-0.39324086904525757","0.45743319392204285,0.2781141698360443,-0.3925864100456238","0.4458318054676056,0.28146353363990784,-0.3923632800579071","0.43554168939590454,0.2847401797771454,-0.3927108347415924","0.5285459756851196,0.3140590488910675,-0.13676288723945618","0.41718798875808716,0.32094085216522217,-0.12115558236837387","0.4952753186225891,0.3890211880207062,-0.3407207429409027","0.4526197612285614,0.39033234119415283,-0.33987751603126526","0.6233966946601868,0.6568602919578552,-0.019990939646959305","0.3279070556163788,0.5817099809646606,-0.08959969878196716","0.6645202040672302,1.0139871835708618,-0.005309521220624447","0.17093989253044128,0.8469012379646301,-0.5003054141998291","0.6653346419334412,1.373643398284912,-0.17275935411453247","0.2836591303348541,0.6588532328605652,-1.0776835680007935","0.6735941767692566,1.5015199184417725,-0.21951371431350708","0.30200499296188354,0.5956742167472839,-1.1950668096542358","0.6440264582633972,1.4715250730514526,-0.2510630488395691","0.32210657000541687,0.5589627027511597,-1.1403141021728516","0.6351999044418335,1.42763352394104,-0.1942923218011856","0.329285591840744,0.584442138671875,-1.0689997673034668","0.5636441707611084,1.3412811756134033,-0.0034153813030570745","0.3465622663497925,1.3330636024475098,0.0061416830867528915","0.5627273917198181,1.92266845703125,-0.0314096175134182","0.3652607798576355,1.926763892173767,0.06902075558900833","0.5534725189208984,2.458620309829712,0.3196507394313812","0.365479052066803,2.458873987197876,0.3786652684211731","0.5571021437644958,2.5311763286590576,0.32971855998039246","0.3586244583129883,2.528731346130371,0.4021918475627899","0.5260810256004333,2.635472297668457,-0.06728026270866394","0.39231470227241516,2.6441619396209717,-0.039276815950870514"
center,"0.4718647003173828,0.32430893182754517,-0.40552952885627747","0.4915638267993927,0.2703287899494171,-0.3692956864833832","0.5029001832008362,0.27072352170944214,-0.36899805068969727","0.513071596622467,0.2721180021762848,-0.3691376745700836","0.45715534687042236,0.27599772810935974,-0.3651854693889618","0.4456805884838104,0.2794974744319916,-0.36503058671951294","0.4356212317943573,0.2828615605831146,-0.36535564064979553","0.5283979177474976,0.31181156635284424,-0.1291273683309555","0.41810619831085205,0.3204538822174072,-0.10172776877880096","0.49499085545539856,0.3870106637477875,-0.3201354742050171","0.452647864818573,0.38929611444473267,-0.31344589591026306","0.6235012412071228,0.6568866968154907,-0.015388100408017635","0.33133694529533386,0.5755393505096436,-0.0760510042309761","0.6647870540618896,1.0107042789459229,0.027328219264745712","0.17071133852005005,0.7763210535049438,-0.49836379289627075","0.6670114994049072,1.3656580448150635,-0.05777786299586296","0.2719976603984833,0.5808312296867371,-1.0528053045272827","0.673832893371582,1.4910945892333984,-0.08800622075796127","0.28295543789863586,0.5082364678382874,-1.1666978597640991","0.6443026065826416,1.4659892320632935,-0.12175734341144562","0.3152736723423004,0.47760093212127686,-1.1131179332733154","0.6356672048568726,1.4230360984802246,-0.07759808003902435","0.3234753906726837,0.5063154697418213,-1.0468285083770752","0.5635567307472229,1.3459974527359009,-0.0035376781597733498","0.3474327027797699,1.3339307308197021,0.006192824803292751","0.561891496181488,1.9259108304977417,-0.030888941138982773","0.3653962314128876,1.9267501831054688,0.06326482445001602","0.5500405430793762,2.46220326423645,0.31375551223754883","0.36123064160346985,2.459258794784546,0.3574964702129364","0.5531005263328552,2.533914089202881,0.32400164008140564","0.35355082154273987,2.529357671737671,0.37843596935272217","0.5212506055831909,2.6400694847106934,-0.06401220709085464","0.38571253418922424,2.6446433067321777,-0.051611654460430145"
center,"0.46924564242362976,0.32175594568252563,-0.3937661051750183","0.4874999225139618,0.26635032892227173,-0.3611968755722046","0.49899259209632874,0.2662809491157532,-0.36086660623550415","0.5094844698905945,0.2672075629234314,-0.3611057698726654","0.4546549916267395,0.2734956741333008,-0.3539658188819885","0.44401270151138306,0.27742841839790344,-0.35377010703086853","0.4342282712459564,0.2811677157878876,-0.3540939390659332","0.5264198184013367,0.30879679322242737,-0.13128270208835602","0.4172010123729706,0.32020217180252075,-0.09016689658164978","0.49422216415405273,0.38563165068626404,-0.31231221556663513","0.4524371922016144,0.3890935480594635,-0.3004174828529358","0.6237183809280396,0.6568154096603394,-0.015704598277807236","0.33234304189682007,0.5705857276916504,-0.0722716674208641","0.664976179599762,1.0038574934005737,0.0302900318056345","0.1686917096376419,0.728826105594635,-0.49532032012939453","0.6763772964477539,1.365214228630066,-0.013130590319633484","0.25534310936927795,0.5184117555618286,-1.0225564241409302","0.6878231763839722,1.4887241125106812,-0.036019302904605865","0.22662478685379028,0.3897123336791992,-1.1340296268463135","0.6569491028785706,1.4661788940429688,-0.06724166870117188","0.2936194837093353,0.40533769130706787,-1.0851365327835083","0.6458476185798645,1.4233964681625366,-0.03223114833235741","0.30319511890411377,0.434151291847229,-1.0215070247650146","0.5633465051651001,1.3566628694534302,-0.010971900075674057","0.36062589287757874,1.3665493726730347,0.013627815060317516","0.5604760050773621,1.9382684230804443,-0.042321838438510895","0.365549772977829,1.932255744934082,0.07853816449642181","0.5457584261894226,2.4760777950286865,0.3084023892879486","0.3554968535900116,2.4683263301849365,0.40864503383636475","0.5479264855384827,2.547823667526245,0.31930744647979736","0.34747540950775146,2.540095567703247,0.4338550567626953","0.515796959400177,2.6542348861694336,-0.07258348166942596","0.38074809312820435,2.6556711196899414,0.0019556814804673195"
center,"0.4661863148212433,0.3211595416069031,-0.3968047499656677","0.4830552935600281,0.26582199335098267,-0.364448219537735","0.49441415071487427,0.26559388637542725,-0.3641158938407898","0.5050647258758545,0.2663930058479309,-0.36434125900268555","0.45227956771850586,0.2735839784145355,-0.35668909549713135","0.4426007866859436,0.2776363790035248,-0.3564823567867279","0.4332948327064514,0.28142049908638,-0.35681959986686707","0.5237504839897156,0.30855295062065125,-0.13198038935661316","0.4171903431415558,0.3202648460865021,-0.08989523351192474","0.49181291460990906,0.3851243257522583,-0.31519562005996704","0.45201313495635986,0.3892131745815277,-0.3024388253688812","0.625059962272644,0.6571313142776489,-0.01604599505662918","0.3368176221847534,0.5654621720314026,-0.07419136166572571","0.6650190353393555,1.0038880109786987,0.041570935398340225","0.16817501187324524,0.6862964034080505,-0.5043928027153015","0.6844432950019836,1.3652048110961914,0.02063833363354206","0.2219790816307068,0.42468973994255066,-1.0265989303588867","0.6978660225868225,1.4867700338363647,0.004444778896868229","0.19409161806106567,0.3186584711074829,-1.1384639739990234","0.6696939468383789,1.4663286209106445,-0.028190048411488533","0.2716391384601593,0.35322096943855286,-1.0911751985549927","0.6571357846260071,1.4235639572143555,0.0010129769798368216","0.28588560223579407,0.3922143578529358,-1.025136113166809","0.5629053711891174,1.3663384914398193,-0.01517492812126875","0.357834130525589,1.3631196022033691,0.017799675464630127","0.5580887198448181,1.949233889579773,-0.049702439457178116","0.3651682734489441,1.9374001026153564,0.07845904678106308","0.5422573685646057,2.4871973991394043,0.3034071624279022","0.3518037497997284,2.4755730628967285,0.4064033627510071","0.5439793467521667,2.5588219165802,0.31431975960731506","0.34357547760009766,2.547558546066284,0.43127280473709106","0.5126574039459229,2.6637027263641357,-0.08066951483488083","0.37757745385169983,2.6636857986450195,-0.0030555413104593754"
center,"0.46430686116218567,0.3213541805744171,-0.40099602937698364","0.48073622584342957,0.2652481496334076,-0.36703750491142273","0.49222105741500854,0.2648395895957947,-0.3667299151420593","0.5031341314315796,0.26547765731811523,-0.3668648302555084","0.4508800208568573,0.2736525535583496,-0.36099007725715637","0.44171223044395447,0.27781638503074646,-0.3607819974422455","0.432627409696579,0.28155621886253357,-0.361115425825119","0.5232630968093872,0.30845147371292114,-0.14219792187213898","0.41716715693473816,0.3209061622619629,-0.09355010837316513","0.49050605297088623,0.3852485418319702,-0.3175959885120392","0.4518298804759979,0.3898921608924866,-0.30654075741767883","0.6255835294723511,0.6590184569358826,-0.026687437668442726","0.3412167429924011,0.5641040205955505,-0.09017812460660934","0.6650158762931824,1.0039622783660889,0.03381386026740074","0.16849033534526825,0.6686193346977234,-0.5389877557754517","0.6840879917144775,1.3666183948516846,-0.01511608436703682","0.2344510555267334,0.44786500930786133,-1.0662912130355835","0.7053884267807007,1.4919224977493286,-0.03609619289636612","0.22138802707195282,0.3454233705997467,-1.17606782913208","0.6771851778030396,1.4775993824005127,-0.0690455287694931","0.275799959897995,0.3588505983352661,-1.1300619840621948","0.6635033488273621,1.4362062215805054,-0.03507082909345627","0.2907748818397522,0.40003421902656555,-1.067249059677124","0.5624443292617798,1.3774279356002808,-0.018918365240097046","0.3556387722492218,1.3617092370986938,0.0215105339884758","0.556574821472168,1.95822012424469,-0.045429009944200516","0.3646063804626465,1.939367413520813,0.07991168648004532","0.5382778644561768,2.492922306060791,0.3471895158290863","0.346477210521698,2.476764678955078,0.42097511887550354","0.5390760898590088,2.563807487487793,0.36283841729164124","0.3373368978500366,2.549440622329712,0.4477532207965851","0.5087677240371704,2.6688642501831055,-0.0238021332770586","0.3709550201892853,2.6638057231903076,0.016491152346134186"
center,"0.46363064646720886,0.32053565979003906,-0.39381057024002075","0.47993266582489014,0.26437464356422424,-0.36206093430519104","0.4911424219608307,0.26404860615730286,-0.3617369830608368","0.5018190145492554,0.2647392749786377,-0.3619648814201355","0.4507867693901062,0.272630512714386,-0.35369789600372314","0.4416750967502594,0.27687308192253113,-0.3535118103027344","0.4326019287109375,0.2808277904987335,-0.35387134552001953","0.5219120383262634,0.30840736627578735,-0.14132116734981537","0.41756439208984375,0.32091382145881653,-0.08791016787290573","0.4894145131111145,0.38504475355148315,-0.3131926953792572","0.45178845524787903,0.3898344039916992,-0.2995312809944153","0.6255720853805542,0.6568855047225952,-0.027178417891263962","0.3430580794811249,0.5627517700195312,-0.0894695296883583","0.6676110029220581,1.0020091533660889,0.050578512251377106","0.16870243847370148,0.6618636846542358,-0.5412506461143494","0.6911647319793701,1.3668473958969116,0.06418556720018387","0.20828096568584442,0.4001656174659729,-1.082276463508606","0.708936870098114,1.4916982650756836,0.05966884270310402","0.14841228723526,0.270771861076355,-1.1885610818862915","0.6811391711235046,1.477887511253357,0.029126090928912163","0.23686687648296356,0.3071884214878082,-1.148193359375","0.6672247648239136,1.4370520114898682,0.047588422894477844","0.24803821742534637,0.3565969169139862,-1.0863784551620483","0.562359631061554,1.3791264295578003,-0.021108390763401985","0.35503751039505005,1.3607896566390991,0.023645615205168724","0.5566256642341614,1.9598875045776367,-0.04440619423985481","0.3647083044052124,1.9410063028335571,0.08020568639039993","0.5387934446334839,2.494785785675049,0.3444170653820038","0.3472108840942383,2.478278398513794,0.4213145971298218","0.5397260785102844,2.565269947052002,0.359162300825119","0.3382287621498108,2.5508131980895996,0.4481826722621918","0.5093934535980225,2.669834852218628,-0.026996424421668053","0.37222710251808167,2.664156198501587,0.018973970785737038"
center,"0.4669596552848816,0.3193682134151459,-0.4069436192512512","0.4831389784812927,0.2629806399345398,-0.3704490065574646","0.49397963285446167,0.2629016637802124,-0.37007570266723633","0.5040959119796753,0.2637963593006134,-0.37037593126296997","0.45308780670166016,0.2710055410861969,-0.3657013177871704","0.4433455765247345,0.2754839062690735,-0.3655219078063965","0.4338732957839966,0.2798120677471161,-0.36585864424705505","0.5224007964134216,0.3081095516681671,-0.14146240055561066","0.4180540442466736,0.3209332823753357,-0.0972028523683548","0.49181899428367615,0.384723424911499,-0.3212732672691345","0.4534365236759186,0.38975030183792114,-0.31199467182159424","0.626250147819519,0.6568883061408997,-0.020311078056693077","0.343376487493515,0.5621489882469177,-0.12042798101902008","0.6714566946029663,1.0020043849945068,0.06483156979084015","0.16866524517536163,0.6681823134422302,-0.5957157015800476","0.7022096514701843,1.366867184638977,0.05297619849443436","0.22025366127490997,0.4332425594329834,-1.133446216583252","0.7191810607910156,1.4898329973220825,0.04358277842402458","0.16826434433460236,0.31671544909477234,-1.246120572090149","0.6928783059120178,1.4776962995529175,0.008683383464813232","0.25478029251098633,0.3252613842487335,-1.1950862407684326","0.6788811087608337,1.4369921684265137,0.033095795661211014","0.26585596799850464,0.37642157077789307,-1.1319667100906372","0.5627097487449646,1.3796675205230713,-0.020734241232275963","0.35463225841522217,1.3598991632461548,0.02329837530851364","0.5566619634628296,1.9613794088363647,-0.04095279797911644","0.364759624004364,1.9431437253952026,0.10135170072317123","0.5391544699668884,2.4973809719085693,0.35350802540779114","0.3481443226337433,2.480358600616455,0.481632262468338","0.5400174260139465,2.568866014480591,0.3681703209877014","0.3393881916999817,2.5524840354919434,0.5113781094551086","0.509506344795227,2.671717643737793,-0.027439381927251816","0.37323224544525146,2.668104410171509,0.06763041019439697"
center,"0.46420469880104065,0.3194090723991394,-0.4078410863876343","0.4817000925540924,0.26278549432754517,-0.3719092309474945","0.49279096722602844,0.26272040605545044,-0.3715466856956482","0.5030997395515442,0.263608455657959,-0.37186574935913086","0.4520109295845032,0.27044767141342163,-0.3666429817676544","0.44274264574050903,0.27466630935668945,-0.3664608299732208","0.4336169958114624,0.2788790166378021,-0.36679497361183167","0.5213226079940796,0.30812594294548035,-0.1517871767282486","0.41879358887672424,0.3207748532295227,-0.09825775772333145","0.48916923999786377,0.38463419675827026,-0.3271506130695343","0.4514508843421936,0.3897862434387207,-0.3132621645927429","0.6261790990829468,0.6577765941619873,-0.04230508953332901","0.34400811791419983,0.561010479927063,-0.11618133634328842","0.6726177334785461,1.0008320808410645,0.057440586388111115","0.17013069987297058,0.6728636622428894,-0.571372926235199","0.7121045589447021,1.3668807744979858,0.061181578785181046","0.19085675477981567,0.382021427154541,-1.1179264783859253","0.7310388088226318,1.487423300743103,0.05665743723511696","0.13632574677467346,0.26323390007019043,-1.229974627494812","0.7049725651741028,1.4772154092788696,0.023532116785645485","0.19142501056194305,0.23589761555194855,-1.1899195909500122","0.6893037557601929,1.43694269657135,0.0418013259768486","0.21468870341777802,0.2901259958744049,-1.1231719255447388","0.5627177357673645,1.3785134553909302,-0.020751778036355972","0.35393431782722473,1.359653115272522,0.0232972614467144","0.5574991703033447,1.9600805044174194,-0.02100476808845997","0.365136981010437,1.9440683126449585,0.10433661937713623","0.5437371134757996,2.495897054672241,0.3890747129917145","0.3498768210411072,2.4809730052948,0.4773727059364319","0.5449696779251099,2.5673398971557617,0.40641164779663086","0.3416080176830292,2.5527946949005127,0.5067528486251831","0.5177527666091919,2.670442819595337,0.017015870660543442","0.37666624784469604,2.6681711673736572,0.06989489495754242"
center,"0.4658108949661255,0.31907251477241516,-0.4109382629394531","0.4841329753398895,0.2627851665019989,-0.3727959990501404","0.495167076587677,0.26277193427085876,-0.3724406063556671","0.5052047371864319,0.26397934556007385,-0.3727361559867859","0.4536840617656708,0.26919153332710266,-0.36776959896087646","0.44397681951522827,0.273097425699234,-0.3675638735294342","0.43462979793548584,0.27723580598831177,-0.36785978078842163","0.5223474502563477,0.3094187378883362,-0.13459256291389465","0.41952574253082275,0.3207281231880188,-0.10102890431880951","0.48988091945648193,0.3846432864665985,-0.32738348841667175","0.4516924023628235,0.3897080719470978,-0.31893113255500793","0.626211404800415,0.6584381461143494,-0.02122081257402897","0.34388214349746704,0.5633040070533752,-0.12455635517835617","0.6726240515708923,1.0008189678192139,0.06958814710378647","0.17909051477909088,0.6716933250427246,-0.6060761213302612","0.7119852304458618,1.3666431903839111,0.06868566572666168","0.19853584468364716,0.3860231041908264,-1.1711695194244385","0.7305240631103516,1.4844366312026978,0.06052636355161667","0.14559856057167053,0.2710421085357666,-1.2912554740905762","0.7032057046890259,1.4771798849105835,0.023895392194390297","0.19490012526512146,0.23714594542980194,-1.254396677017212","0.6884109377861023,1.4371541738510132,0.047219518572092056","0.21355634927749634,0.28295764327049255,-1.1797893047332764","0.5625826716423035,1.3778306245803833,-0.015357932075858116","0.35366198420524597,1.3606946468353271,0.018082868307828903","0.5575363039970398,1.9592034816741943,-0.02665926329791546","0.365981787443161,1.945434808731079,0.05787606164813042","0.5441297292709351,2.4952590465545654,0.35498732328414917","0.3500403165817261,2.48209285736084,0.37868693470954895","0.5452228784561157,2.5669803619384766,0.36838528513908386","0.34192267060279846,2.5543723106384277,0.4007866084575653","0.5198485255241394,2.669590473175049,-0.018053283914923668","0.37757807970046997,2.6678340435028076,-0.04160856828093529"
center,"0.466775506734848,0.31858688592910767,-0.4261322319507599","0.48547542095184326,0.26267510652542114,-0.3849521279335022","0.49660009145736694,0.262830913066864,-0.3845856785774231","0.5064830183982849,0.26406028866767883,-0.3847694396972656","0.45445409417152405,0.26836904883384705,-0.3801827132701874","0.4445865750312805,0.2721187472343445,-0.37999093532562256","0.4352251887321472,0.2762584388256073,-0.3802837133407593","0.523097574710846,0.30944815278053284,-0.1435052454471588","0.42088985443115234,0.32056814432144165,-0.11396977305412292","0.49041232466697693,0.38425174355506897,-0.3435179591178894","0.4520636200904846,0.3895496129989624,-0.3359338641166687","0.6266008615493774,0.6585791707038879,-0.03138045221567154","0.34383052587509155,0.5644057393074036,-0.12628808617591858","0.6732293963432312,1.000516414642334,0.05916659161448479","0.18095842003822327,0.6754602789878845,-0.5919493436813354","0.7117164134979248,1.365138053894043,0.04363476112484932","0.1797710508108139,0.3847532272338867,-1.158071756362915","0.7285609841346741,1.4807647466659546,0.028974922373890877","0.13154329359531403,0.265426367521286,-1.2776868343353271","0.7028658390045166,1.4744501113891602,-0.005779765546321869","0.17949225008487701,0.23373650014400482,-1.248307466506958","0.6882833242416382,1.4356945753097534,0.023807303979992867","0.1975903958082199,0.28192153573036194,-1.170455813407898","0.5625375509262085,1.3777868747711182,-0.01254134438931942","0.35361483693122864,1.361603021621704,0.015313797630369663","0.5575565695762634,1.9589296579360962,-0.026711903512477875","0.36631956696510315,1.9461288452148438,0.03581385686993599","0.5449636578559875,2.4960272312164307,0.34877893328666687","0.3524799644947052,2.4831042289733887,0.3345701992511749","0.5462097525596619,2.5686964988708496,0.36125263571739197","0.3443211019039154,2.5552775859832764,0.35461845993995667","0.5222902894020081,2.669074535369873,-0.01962926611304283","0.38134387135505676,2.667680263519287,-0.08348012715578079"
center,"0.4680800437927246,0.31979891657829285,-0.4177314043045044","0.4866625964641571,0.264351487159729,-0.37739822268486023","0.4976237714290619,0.2648528218269348,-0.37707582116127014","0.5072663426399231,0.26630428433418274,-0.3772563934326172","0.45569056272506714,0.26894891262054443,-0.37127530574798584","0.44588443636894226,0.2723849415779114,-0.37111252546310425","0.4366101920604706,0.27635377645492554,-0.37144526839256287","0.5231190919876099,0.31073907017707825,-0.14067591726779938","0.4220508635044098,0.3210734724998474,-0.10468069463968277","0.49086666107177734,0.38543978333473206,-0.337274968624115","0.4527977705001831,0.39073440432548523,-0.3276691436767578","0.6265407204627991,0.6585863828659058,-0.032768819481134415","0.34370169043540955,0.5658678412437439,-0.12389350682497025","0.6738482117652893,0.9993877410888672,0.04074634984135628","0.18244099617004395,0.6758294701576233,-0.5813104510307312","0.7114771604537964,1.3642224073410034,0.020633038133382797","0.17580869793891907,0.3748188614845276,-1.1444026231765747","0.7284442186355591,1.4793646335601807,0.011156451888382435","0.13287946581840515,0.25846463441848755,-1.2614330053329468","0.7029237747192383,1.4728450775146484,-0.02471345290541649","0.1749776005744934,0.21873842179775238,-1.2345218658447266","0.6879225373268127,1.4347947835922241,-0.001558228163048625","0.1936308890581131,0.26569145917892456,-1.1572775840759277","0.5621004700660706,1.3786512613296509,-0.012530520558357239","0.3529546558856964,1.3631083965301514,0.015301397070288658","0.5573760867118835,1.9593318700790405,-0.030466409400105476","0.36633747816085815,1.9468146562576294,0.0324149951338768","0.5451180934906006,2.496706247329712,0.3321382701396942","0.3527442514896393,2.483609914779663,0.32633957266807556","0.5465053915977478,2.5695431232452393,0.34408804774284363","0.3443904519081116,2.555479049682617,0.346786230802536","0.5229253172874451,2.6687252521514893,-0.03184850141406059","0.38290733098983765,2.667665719985962,-0.08503090590238571"
center,"0.4710000455379486,0.32034605741500854,-0.4626365602016449","0.48979899287223816,0.26465895771980286,-0.41954028606414795","0.5001210570335388,0.2652835249900818,-0.4192426800727844","0.5092757344245911,0.2668223977088928,-0.4194032847881317","0.45878222584724426,0.2689949572086334,-0.4193975329399109","0.448557585477829,0.2723715603351593,-0.41919225454330444","0.4388904869556427,0.2762239873409271,-0.4194699823856354","0.5235929489135742,0.3110589385032654,-0.1591426581144333","0.4232560694217682,0.3210861086845398,-0.14942464232444763","0.4918194115161896,0.38595908880233765,-0.3708867132663727","0.4538675844669342,0.3914378583431244,-0.3690442442893982","0.6265286803245544,0.6586254835128784,-0.03492877632379532","0.34355399012565613,0.5676690936088562,-0.16473664343357086","0.6738303303718567,0.9981305003166199,0.05133136734366417","0.19282875955104828,0.6801066994667053,-0.6622583866119385","0.7102019786834717,1.3553956747055054,0.06109271198511124","0.19264358282089233,0.3805222511291504,-1.2642079591751099","0.7261850833892822,1.4692224264144897,0.05562078580260277","0.1904546171426773,0.27551203966140747,-1.3885101079940796","0.7010879516601562,1.462973952293396,0.019530268386006355","0.1907522976398468,0.24588201940059662,-1.355797290802002","0.6865167021751404,1.425800085067749,0.04054487869143486","0.20805157721042633,0.2960929870605469,-1.2737962007522583","0.5614618062973022,1.3777949810028076,-0.009185919538140297","0.35233768820762634,1.3621530532836914,0.011940906755626202","0.5561708211898804,1.9580163955688477,-0.01186110358685255","0.36601725220680237,1.945733904838562,0.03977327421307564","0.5438368916511536,2.496049642562866,0.3739865720272064","0.3521327078342438,2.4831531047821045,0.3484390676021576","0.5444566011428833,2.5688796043395996,0.38866549730300903","0.34338855743408203,2.5552568435668945,0.37122106552124023","0.5226565003395081,2.668010711669922,0.004184955731034279","0.3820357620716095,2.6657142639160156,-0.08158862590789795"
center,"0.4706558883190155,0.3258202373981476,-0.45478692650794983","0.48973172903060913,0.2686494290828705,-0.41258376836776733","0.5000808238983154,0.26879897713661194,-0.41227906942367554","0.509261429309845,0.26984649896621704,-0.4124370217323303","0.4586864113807678,0.2735925614833832,-0.4112758934497833","0.4484682083129883,0.27670517563819885,-0.41107940673828125","0.43880921602249146,0.28028443455696106,-0.41138049960136414","0.5233783721923828,0.31265246868133545,-0.1586296111345291","0.42330557107925415,0.3230631649494171,-0.14683690667152405","0.4914589822292328,0.3902328610420227,-0.3660285174846649","0.4525216817855835,0.3966867923736572,-0.36552000045776367","0.6265909075737,0.6590847373008728,-0.02973000891506672","0.3446443974971771,0.5675247311592102,-0.15120190382003784","0.6749069094657898,0.9952123761177063,0.05996394529938698","0.20070503652095795,0.684997022151947,-0.6288317441940308","0.7093083262443542,1.354803442955017,0.07606759667396545","0.3171161711215973,0.5239288806915283,-1.2295284271240234","0.7227272391319275,1.4695478677749634,0.06661313027143478","0.3608658015727997,0.45727646350860596,-1.3476653099060059","0.6999378800392151,1.46238374710083,0.03050905652344227","0.37419524788856506,0.41775062680244446,-1.2973681688308716","0.6855147480964661,1.425482988357544,0.05731493607163429","0.3711444139480591,0.43912044167518616,-1.2418171167373657","0.5616312026977539,1.369537115097046,-0.009473873302340508","0.3528982400894165,1.349513053894043,0.01220554020255804","0.5553876161575317,1.9533390998840332,-0.012658010236918926","0.3660821318626404,1.938974380493164,0.11503609269857407","0.5396662950515747,2.491115093231201,0.3679450750350952","0.35225069522857666,2.4787747859954834,0.4929676651954651","0.5395539999008179,2.563169002532959,0.38226088881492615","0.34352582693099976,2.5502734184265137,0.5223206877708435","0.516433596611023,2.6634185314178467,-0.005344655830413103","0.3810330927371979,2.6635582447052,0.07818064838647842"
center,"0.46628421545028687,0.3269999325275421,-0.4544874429702759","0.486975759267807,0.26933345198631287,-0.4165577292442322","0.498360812664032,0.2691994905471802,-0.4162430167198181","0.5082982182502747,0.2700643241405487,-0.4163842499256134","0.4541093707084656,0.27596163749694824,-0.4119270145893097","0.44420334696769714,0.27966898679733276,-0.41175758838653564","0.43466293811798096,0.28356900811195374,-0.412087082862854","0.5232542157173157,0.31285619735717773,-0.16444511711597443","0.421150803565979,0.324138343334198,-0.14044132828712463","0.49060600996017456,0.39046579599380493,-0.36435824632644653","0.44808778166770935,0.39737898111343384,-0.35879257321357727","0.6265961527824402,0.6589239835739136,-0.027309631928801537","0.3444760739803314,0.5675463080406189,-0.14450855553150177","0.6748704314231873,0.9951081275939941,0.06067565828561783","0.19908012449741364,0.70005863904953,-0.6177316308021545","0.699535608291626,1.3585245609283447,0.05983233079314232","0.3244837820529938,0.5713179707527161,-1.1947007179260254","0.7219377160072327,1.4739675521850586,0.04795217886567116","0.3682224452495575,0.5147759318351746,-1.3130885362625122","0.6988475918769836,1.4675979614257812,0.012658977881073952","0.38339948654174805,0.4671356976032257,-1.2693482637405396","0.6845021843910217,1.4301939010620117,0.04056408256292343","0.3798041343688965,0.48485633730888367,-1.203811526298523","0.564034104347229,1.3601582050323486,-0.009608306922018528","0.3542085587978363,1.3399497270584106,0.01230059377849102","0.5571144223213196,1.9452903270721436,0.012363004498183727","0.369143545627594,1.9310858249664307,0.11587241291999817","0.5407446622848511,2.480968475341797,0.4101869463920593","0.35729339718818665,2.469597101211548,0.4817882776260376","0.5410186052322388,2.553075075149536,0.4256114959716797","0.34909820556640625,2.5403177738189697,0.5104391574859619","0.5165159106254578,2.654128313064575,0.02713952586054802","0.3849323093891144,2.656766891479492,0.06616184860467911"
