position,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
center,"0.4768461585044861,0.36017411947250366,-0.4151023328304291","0.49122485518455505,0.31364741921424866,-0.3991958200931549","0.5015078783035278,0.31454330682754517,-0.398947536945343","0.5111029744148254,0.31549739837646484,-0.39915552735328674","0.46397387981414795,0.31535202264785767,-0.3872166574001312","0.45632848143577576,0.31770414113998413,-0.3868996500968933","0.4482426643371582,0.320891797542572,-0.3869978189468384","0.5318614840507507,0.34181898832321167,-0.20237870514392853","0.44291794300079346,0.34679678082466125,-0.13768744468688965","0.49762651324272156,0.40943193435668945,-0.3433842360973358","0.46320703625679016,0.41122639179229736,-0.32321885228157043","0.6279096007347107,0.6110697388648987,-0.08363210409879684","0.3758804500102997,0.5643011331558228,-0.12400130182504654","0.6610376834869385,0.8906019330024719,-0.017535310238599777","0.27944615483283997,0.7236462831497192,-0.47413572669029236","0.6365904211997986,1.2278183698654175,-0.06160573288798332","0.35558006167411804,0.5873118042945862,-0.9852734208106995","0.6390693187713623,1.3372163772583008,-0.07998568564653397","0.36690089106559753,0.5331370830535889,-1.0924522876739502","0.6161870360374451,1.3219122886657715,-0.11133938282728195","0.3848382234573364,0.5078589916229248,-1.0684890747070312","0.6088598966598511,1.286300539970398,-0.07702972739934921","0.39192092418670654,0.5347634553909302,-0.9909204244613647","0.5561593770980835,1.2446414232254028,-0.02082005888223648","0.37641218304634094,1.2143330574035645,0.022965189069509506","0.5298677086830139,1.7566499710083008,-0.05836149677634239","0.37228327989578247,1.7371493577957153,0.12870946526527405","0.5040498971939087,2.230048656463623,0.2258269190788269","0.35217931866645813,2.217372417449951,0.4427122473716736","0.5056145787239075,2.2933483123779297,0.231560617685318","0.34631502628326416,2.278693675994873,0.4658949673175812","0.4715007543563843,2.3791465759277344,-0.1261700540781021","0.36493051052093506,2.3854269981384277,0.07507826387882233"
center,"0.47499001026153564,0.36129921674728394,-0.43251940608024597","0.48970887064933777,0.31438297033309937,-0.421856552362442","0.5001214146614075,0.31503531336784363,-0.4216214120388031","0.509636640548706,0.3157917261123657,-0.42180824279785156","0.46292197704315186,0.3167121112346649,-0.4037684500217438","0.45531147718429565,0.31897515058517456,-0.40342777967453003","0.44723477959632874,0.3220756947994232,-0.40354225039482117","0.5313260555267334,0.3418387770652771,-0.2443481981754303","0.44319403171539307,0.34701552987098694,-0.14841872453689575","0.49669963121414185,0.409854531288147,-0.3660023510456085","0.46213704347610474,0.4125000834465027,-0.33756086230278015","0.6284671425819397,0.6106637716293335,-0.1358952671289444","0.3778517544269562,0.5643439292907715,-0.117644302546978","0.6609477996826172,0.8941495418548584,-0.0912078395485878","0.2782415449619293,0.724689781665802,-0.4422668516635895","0.6334286332130432,1.2281080484390259,-0.11620192974805832","0.35487374663352966,0.5718829035758972,-0.9456781148910522","0.6354572176933289,1.3387689590454102,-0.1387495994567871","0.36448878049850464,0.4983234405517578,-1.0479247570037842","0.6112128496170044,1.3228479623794556,-0.16268505156040192","0.38167208433151245,0.4776866137981415,-1.0235192775726318","0.6039841175079346,1.2870782613754272,-0.12804922461509705","0.38888561725616455,0.5065274238586426,-0.9508791565895081","0.5551942586898804,1.2394975423812866,-0.02627398818731308","0.37643805146217346,1.2066407203674316,0.028339987620711327","0.5259195566177368,1.7503840923309326,-0.0633745938539505","0.3706788718700409,1.730545163154602,0.14460286498069763","0.49635228514671326,2.2244813442230225,0.22368134558200836","0.3469165563583374,2.2114522457122803,0.4694027602672577","0.498233437538147,2.286485433578491,0.23045533895492554","0.3413885831832886,2.271669387817383,0.4935421347618103","0.46150895953178406,2.372976779937744,-0.13361287117004395","0.35523802042007446,2.3791799545288086,0.09998499602079391"
center,"0.47500500082969666,0.3616218864917755,-0.43060553073883057","0.48977771401405334,0.31476759910583496,-0.42123785614967346","0.500194251537323,0.3152645230293274,-0.42101621627807617","0.5096656680107117,0.3158970773220062,-0.4211486279964447","0.4629180133342743,0.3171437978744507,-0.4023835361003876","0.4552561044692993,0.3192877173423767,-0.40203186869621277","0.4470581114292145,0.3222871422767639,-0.4021144509315491","0.5313316583633423,0.34183481335639954,-0.23204191029071808","0.4430558979511261,0.3472001850605011,-0.1460598260164261","0.49683135747909546,0.4104556739330292,-0.3635140657424927","0.4620853364467621,0.4133850634098053,-0.33743610978126526","0.6287816166877747,0.6099295616149902,-0.12163278460502625","0.3779490292072296,0.5649778246879578,-0.11415834724903107","0.6607524156570435,0.8945973515510559,-0.08126689493656158","0.27804794907569885,0.7240152955055237,-0.44947052001953125","0.633044421672821,1.2294203042984009,-0.08897671848535538","0.3533638119697571,0.5608606338500977,-0.9529483914375305","0.6344318389892578,1.3392198085784912,-0.10982418060302734","0.36118602752685547,0.4898824095726013,-1.0571428537368774","0.6109507083892822,1.322575569152832,-0.13381345570087433","0.38042524456977844,0.4625639319419861,-1.029472827911377","0.6033639907836914,1.2865015268325806,-0.10083316266536713","0.38777244091033936,0.4898778200149536,-0.9574728608131409","0.554954469203949,1.2402489185333252,-0.027105210348963737","0.37646281719207764,1.2077820301055908,0.0291913952678442","0.5260589718818665,1.7516379356384277,-0.05699629336595535","0.37075862288475037,1.7314326763153076,0.15974920988082886","0.4966549873352051,2.225454092025757,0.2375984936952591","0.3469642996788025,2.2133331298828125,0.49474093317985535","0.49842867255210876,2.287748098373413,0.24491208791732788","0.3414972126483917,2.273557424545288,0.5199311971664429","0.4619487524032593,2.373720645904541,-0.11821626871824265","0.35549551248550415,2.38234543800354,0.12969045341014862"
center,"0.4748462736606598,0.3609849810600281,-0.44246163964271545","0.4897817075252533,0.314607709646225,-0.42787966132164","0.5002135038375854,0.31512847542762756,-0.4276525676250458","0.5096938610076904,0.3157689571380615,-0.4277644455432892","0.4628945291042328,0.3166554272174835,-0.4107941687107086","0.45521748065948486,0.31850332021713257,-0.4104340374469757","0.44697749614715576,0.3211575448513031,-0.4105220437049866","0.5314022302627563,0.34156855940818787,-0.23367705941200256","0.4431058466434479,0.34615805745124817,-0.14843057096004486","0.4967668950557709,0.41010257601737976,-0.37118589878082275","0.4619590640068054,0.41263043880462646,-0.34582340717315674","0.6296727657318115,0.6099638342857361,-0.11712443083524704","0.37840908765792847,0.5640629529953003,-0.11455593258142471","0.6589898467063904,0.9104977250099182,-0.07616659998893738","0.2779456079006195,0.7254483699798584,-0.46148908138275146","0.6322938799858093,1.2488925457000732,-0.10053934901952744","0.3530770242214203,0.5673938393592834,-0.9659985303878784","0.6336185336112976,1.3597049713134766,-0.1245858296751976","0.3608161211013794,0.49607786536216736,-1.0732059478759766","0.6079044342041016,1.3419862985610962,-0.14338931441307068","0.3773351013660431,0.4720984399318695,-1.0519882440567017","0.6006273031234741,1.3038077354431152,-0.11084447056055069","0.38666972517967224,0.5012369155883789,-0.9743881821632385","0.5549643039703369,1.2408432960510254,-0.026805954053997993","0.3764519691467285,1.208439826965332,0.028900597244501114","0.5262031555175781,1.7522865533828735,-0.024826502427458763","0.37076857686042786,1.7354129552841187,0.17304308712482452","0.49705731868743896,2.2261404991149902,0.3072785437107086","0.34698984026908875,2.2151894569396973,0.5324556231498718","0.49879053235054016,2.288541555404663,0.31847625970840454","0.34154435992240906,2.2750813961029053,0.5607831478118896","0.46228182315826416,2.3742027282714844,-0.04626825079321861","0.3556874990463257,2.386951446533203,0.16324229538440704"
center,"0.4761590361595154,0.3609813153743744,-0.4416769742965698","0.49118825793266296,0.3147503137588501,-0.42572638392448425","0.5015978217124939,0.31529107689857483,-0.4255000352859497","0.5112902522087097,0.31594979763031006,-0.4256080687046051","0.4637259244918823,0.3166561722755432,-0.409402072429657","0.4558768570423126,0.3184868097305298,-0.4090569317340851","0.447456032037735,0.32111281156539917,-0.4091622531414032","0.5327938199043274,0.3417249023914337,-0.2292734533548355","0.4433612525463104,0.34616121649742126,-0.14730192720890045","0.49817702174186707,0.41013503074645996,-0.3687860369682312","0.46306419372558594,0.4124794900417328,-0.3442675471305847","0.6313601732254028,0.6100144386291504,-0.11200123280286789","0.3793965280056,0.5635496973991394,-0.1041167676448822","0.6554275751113892,0.9185364246368408,-0.07340868562459946","0.2741674780845642,0.7260884642601013,-0.4576060175895691","0.6248058080673218,1.255753993988037,-0.1026054322719574","0.3410264551639557,0.5710088014602661,-0.9886409044265747","0.6234938502311707,1.3680201768875122,-0.1269950568675995","0.34141531586647034,0.5044679045677185,-1.0964398384094238","0.5957885384559631,1.3471167087554932,-0.14980649948120117","0.3688073754310608,0.48093149065971375,-1.073400616645813","0.5900917053222656,1.3078733682632446,-0.1143413782119751","0.3845290243625641,0.5046567320823669,-0.9951835870742798","0.5549862384796143,1.2444372177124023,-0.026884552091360092","0.37629011273384094,1.2097989320755005,0.028986845165491104","0.5263356566429138,1.7578046321868896,0.0032957573421299458","0.37057799100875854,1.740784764289856,0.19467157125473022","0.49718376994132996,2.2271714210510254,0.3505489230155945","0.3470798432826996,2.216660261154175,0.5675307512283325","0.49901893734931946,2.2895150184631348,0.36318743228912354","0.34165531396865845,2.2762014865875244,0.5979474186897278","0.46259889006614685,2.377671718597412,-0.003058098955079913","0.35583844780921936,2.3915300369262695,0.20147868990898132"
center,"0.4762864112854004,0.36301499605178833,-0.46335312724113464","0.4912625551223755,0.31689658761024475,-0.4429859220981598","0.5017846822738647,0.317210853099823,-0.4428105056285858","0.5116744637489319,0.31768494844436646,-0.44284021854400635","0.4637044370174408,0.3194969594478607,-0.4285608232021332","0.4558109641075134,0.32170239090919495,-0.4282976984977722","0.447359561920166,0.32476019859313965,-0.42845261096954346","0.5334656238555908,0.3429001569747925,-0.23135702311992645","0.4431142508983612,0.3489311933517456,-0.15213893353939056","0.49873265624046326,0.41153639554977417,-0.3832609951496124","0.4633876085281372,0.4143490791320801,-0.360493540763855","0.6334039568901062,0.6127609014511108,-0.11192884296178818","0.37970563769340515,0.574572741985321,-0.12466200441122055","0.6539509892463684,0.9214940667152405,-0.09967835247516632","0.27279791235923767,0.7266952395439148,-0.5177326798439026","0.6192394495010376,1.260041356086731,-0.1770877242088318","0.3407911956310272,0.610272228717804,-1.1288496255874634","0.6142372488975525,1.3741092681884766,-0.2102053016424179","0.3333057761192322,0.5719058513641357,-1.2474594116210938","0.5869904160499573,1.3503737449645996,-0.23655962944030762","0.36484295129776,0.5599610209465027,-1.2262791395187378","0.5832504630088806,1.3108117580413818,-0.19108054041862488","0.38023585081100464,0.5745941400527954,-1.1368663311004639","0.5602378249168396,1.2649227380752563,-0.026902396231889725","0.37957140803337097,1.2290042638778687,0.029031429439783096","0.5300832986831665,1.7754288911819458,0.012647046707570553","0.3707277476787567,1.7548872232437134,0.18541088700294495","0.5016822218894958,2.238213300704956,0.3691306710243225","0.3487657904624939,2.222412586212158,0.5453171133995056","0.5037966966629028,2.300952672958374,0.3829135298728943","0.3439660668373108,2.28189754486084,0.5741251111030579","0.4653804898262024,2.38979434967041,0.021759523078799248","0.3577539622783661,2.3972198963165283,0.17978399991989136"
center,"0.47513630986213684,0.3613460063934326,-0.46038687229156494","0.49042341113090515,0.3157990574836731,-0.43880215287208557","0.5013655424118042,0.3160265386104584,-0.43862155079841614","0.5114551186561584,0.316433310508728,-0.4386216104030609","0.4626771807670593,0.3190591633319855,-0.42497414350509644","0.4545647203922272,0.3214569687843323,-0.424719899892807","0.4460989534854889,0.3246239721775055,-0.4249055087566376","0.5333755612373352,0.34132611751556396,-0.2260655015707016","0.4422813355922699,0.34891748428344727,-0.14878202974796295","0.4981652498245239,0.40969911217689514,-0.37931936979293823","0.4625459611415863,0.41215482354164124,-0.357206791639328","0.6335517168045044,0.6132196187973022,-0.09622914344072342","0.3783908486366272,0.5752142071723938,-0.1253165453672409","0.6540049910545349,0.9218025207519531,-0.09247824549674988","0.26536497473716736,0.7271015644073486,-0.5326865315437317","0.6162862777709961,1.2594435214996338,-0.19535021483898163","0.3279068171977997,0.6419137120246887,-1.1706039905548096","0.609611451625824,1.3731451034545898,-0.23086662590503693","0.3264295756816864,0.6324560046195984,-1.2933272123336792","0.5844932198524475,1.3498554229736328,-0.2601485848426819","0.35767337679862976,0.605094850063324,-1.269862413406372","0.5812753438949585,1.3105289936065674,-0.21152229607105255","0.36881372332572937,0.6133006811141968,-1.1777726411819458","0.5605825781822205,1.26796555519104,-0.025377489626407623","0.3793155550956726,1.2315664291381836,0.02762397937476635","0.5303996801376343,1.7769430875778198,0.016209369525313377","0.36812618374824524,1.7551953792572021,0.18430785834789276","0.5029981136322021,2.2384722232818604,0.36382797360420227","0.34863024950027466,2.222133159637451,0.5408026576042175","0.5053366422653198,2.301363945007324,0.37631314992904663","0.3439572751522064,2.281709909439087,0.5681333541870117","0.4667191803455353,2.389850616455078,0.013581575825810432","0.3578055799007416,2.396172046661377,0.17917661368846893"
center,"0.4749058485031128,0.3611763119697571,-0.4471636712551117","0.4904176592826843,0.31581732630729675,-0.42234814167022705","0.5014248490333557,0.3160499334335327,-0.4221939742565155","0.5116041898727417,0.31645095348358154,-0.42212194204330444","0.46237242221832275,0.3190460801124573,-0.4094632565975189","0.4541400074958801,0.3214435875415802,-0.40924274921417236","0.4456426799297333,0.32457759976387024,-0.40943899750709534","0.5334398746490479,0.34135767817497253,-0.20188602805137634","0.4419831335544586,0.348880797624588,-0.12957844138145447","0.49792802333831787,0.4095367193222046,-0.3647390305995941","0.46223849058151245,0.4117618799209595,-0.34405362606048584","0.63316410779953,0.6152198910713196,-0.08524538576602936","0.37745821475982666,0.5772799849510193,-0.11522364616394043","0.6548928022384644,0.917630136013031,-0.09679185599088669","0.26467153429985046,0.7538018226623535,-0.5235844254493713","0.6095227003097534,1.2468239068984985,-0.21816842257976532","0.3082154393196106,0.6436771154403687,-1.1545863151550293","0.5978134870529175,1.361410140991211,-0.2579747140407562","0.2985590398311615,0.6270179748535156,-1.2776020765304565","0.5741443037986755,1.3289049863815308,-0.2876855432987213","0.3319476246833801,0.5980005860328674,-1.2590787410736084","0.5734010338783264,1.2896631956100464,-0.2348857820034027","0.3461308777332306,0.6173458099365234,-1.16459059715271","0.5588676929473877,1.272955298423767,-0.02393517829477787","0.37667515873908997,1.2342979907989502,0.026262890547513962","0.5286209583282471,1.7784751653671265,0.012434730306267738","0.36148586869239807,1.755125880241394,0.15064668655395508","0.5012410283088684,2.2394065856933594,0.3367665112018585","0.34433048963546753,2.220996379852295,0.4589844048023224","0.503528892993927,2.302417278289795,0.34648802876472473","0.3397894501686096,2.2806591987609863,0.4809974730014801","0.4655918478965759,2.3902854919433594,-0.007995391264557838","0.35339781641960144,2.39351224899292,0.0925660952925682"
center,"0.47478464245796204,0.36039549112319946,-0.39760154485702515","0.490381121635437,0.31499481201171875,-0.37688377499580383","0.5014496445655823,0.31513091921806335,-0.37672504782676697","0.5117614269256592,0.3154015839099884,-0.376770943403244","0.46188825368881226,0.3185555338859558,-0.3622908294200897","0.453482061624527,0.32104527950286865,-0.36199936270713806","0.44490763545036316,0.324247270822525,-0.3621547520160675","0.5336663126945496,0.34046944975852966,-0.18428662419319153","0.4414663016796112,0.3488571345806122,-0.10422160476446152","0.49788326025009155,0.40903517603874207,-0.32695290446281433","0.46209996938705444,0.41126391291618347,-0.30396613478660583","0.6332952976226807,0.6158751845359802,-0.08539394289255142","0.377212256193161,0.5787230730056763,-0.08020602911710739","0.6549292802810669,0.921609103679657,-0.09399519860744476","0.22829584777355194,0.7225116491317749,-0.45399007201194763","0.6096829175949097,1.2641918659210205,-0.19332768023014069","0.23745517432689667,0.5181018114089966,-1.0574902296066284","0.6002962589263916,1.379742980003357,-0.22748693823814392","0.2202148288488388,0.45358362793922424,-1.1606152057647705","0.5743468999862671,1.3489373922348022,-0.25811508297920227","0.24258257448673248,0.3926963806152344,-1.1550308465957642","0.5720856785774231,1.3094711303710938,-0.20891790091991425","0.2666832506656647,0.46747347712516785,-1.0740028619766235","0.5582043528556824,1.2854173183441162,-0.023772913962602615","0.37532147765159607,1.245851755142212,0.026136664673686028","0.5273023843765259,1.7962156534194946,-0.043374888598918915","0.3593721091747284,1.7690958976745605,0.09342341870069504","0.5003479719161987,2.261955499649048,0.23545454442501068","0.34247034788131714,2.2343151569366455,0.34723109006881714","0.5031461119651794,2.327357530593872,0.24086642265319824","0.33796387910842896,2.2937378883361816,0.36431750655174255","0.46399053931236267,2.4095542430877686,-0.10271557420492172","0.35275158286094666,2.4097907543182373,-0.015703758224844933"
center,"0.474957674741745,0.3603483736515045,-0.4060524106025696","0.49094611406326294,0.31499287486076355,-0.38136765360832214","0.5023791790008545,0.3151375353336334,-0.3813456892967224","0.5131644606590271,0.315420001745224,-0.38148847222328186","0.4618901312351227,0.3184422552585602,-0.37190115451812744","0.45346763730049133,0.3209019899368286,-0.37160196900367737","0.4448680281639099,0.3240853548049927,-0.3717135488986969","0.5353835225105286,0.3406350314617157,-0.18839405477046967","0.44145962595939636,0.3491044044494629,-0.11532964557409286","0.4983876347541809,0.40920230746269226,-0.3291112780570984","0.4621223211288452,0.4112357199192047,-0.3130570948123932","0.6337735652923584,0.6165333390235901,-0.08566893637180328","0.376892626285553,0.5829131603240967,-0.08595239371061325","0.6566934585571289,0.9217182397842407,-0.08333507925271988","0.23631618916988373,0.7287188768386841,-0.5148056745529175","0.625341534614563,1.277002215385437,-0.17025358974933624","0.22968991100788116,0.5139131546020508,-1.1871153116226196","0.6220629811286926,1.393785834312439,-0.196003258228302","0.20778493583202362,0.45145517587661743,-1.3049262762069702","0.5946372151374817,1.368839144706726,-0.2244826704263687","0.24108099937438965,0.42719927430152893,-1.2984848022460938","0.588981568813324,1.3296165466308594,-0.18563620746135712","0.2625631093978882,0.46252185106277466,-1.2054044008255005","0.5607959628105164,1.2949602603912354,-0.023765215650200844","0.3757193684577942,1.2593128681182861,0.026128239929676056","0.5318750143051147,1.8088197708129883,-0.00020176518592052162","0.36102837324142456,1.7877495288848877,0.1473296731710434","0.5102680921554565,2.2778513431549072,0.34513577818870544","0.3467424511909485,2.2525746822357178,0.4976653456687927","0.5134651064872742,2.344369888305664,0.35798922181129456","0.3430013060569763,2.312185525894165,0.5261476635932922","0.4744195342063904,2.430156707763672,0.002472475403919816","0.35985130071640015,2.4324400424957275,0.13348282873630524"
center,"0.4759931266307831,0.36034640669822693,-0.43982306122779846","0.4926452040672302,0.3150828182697296,-0.41450393199920654","0.504175066947937,0.3153073787689209,-0.41448748111724854","0.5152890086174011,0.31566882133483887,-0.41466662287712097","0.46290743350982666,0.3184245228767395,-0.40541872382164","0.4542999267578125,0.32087427377700806,-0.4051129221916199","0.4455302357673645,0.3240516185760498,-0.40524646639823914","0.5370514988899231,0.34156176447868347,-0.196186825633049","0.4416239559650421,0.34968307614326477,-0.1330360770225525","0.4988539516925812,0.40980052947998047,-0.3559553325176239","0.46257320046424866,0.4112808108329773,-0.3405860364437103","0.63389652967453,0.6173220872879028,-0.09496290981769562","0.378738671541214,0.5845625400543213,-0.10860992223024368","0.6568470001220703,0.9223529696464539,-0.08908261358737946","0.23923204839229584,0.7429139018058777,-0.555653989315033","0.6266822218894958,1.3004902601242065,-0.16797856986522675","0.23427483439445496,0.5331481099128723,-1.2506656646728516","0.6237422227859497,1.4214805364608765,-0.1943742334842682","0.20921160280704498,0.4773729741573334,-1.372411847114563","0.5961380004882812,1.4002658128738403,-0.22258718311786652","0.24400435388088226,0.4509464204311371,-1.369993805885315","0.5900965332984924,1.3594708442687988,-0.18320555984973907","0.2655227780342102,0.48419058322906494,-1.2711255550384521","0.5646522045135498,1.301425576210022,-0.025805771350860596","0.37852615118026733,1.2687270641326904,0.02815774641931057","0.5379884243011475,1.8199808597564697,-0.0017726668156683445","0.3651328682899475,1.8020575046539307,0.17659832537174225","0.5186790227890015,2.293485641479492,0.34228625893592834","0.3520957827568054,2.2695772647857666,0.5449792146682739","0.5227302312850952,2.359656572341919,0.3541755676269531","0.34871599078178406,2.3284757137298584,0.574669599533081","0.4820860028266907,2.4473094940185547,-0.010533536784350872","0.36499008536338806,2.4506356716156006,0.16954240202903748"
center,"0.47672489285469055,0.36043092608451843,-0.41604921221733093","0.4929572343826294,0.31501835584640503,-0.3867453634738922","0.5044510960578918,0.31525176763534546,-0.3866919279098511","0.5155807733535767,0.315620094537735,-0.3868013620376587","0.46320807933807373,0.31821173429489136,-0.3792990744113922","0.45449113845825195,0.3206041753292084,-0.37900736927986145","0.44565215706825256,0.3237314224243164,-0.37916746735572815","0.53718101978302,0.3415732681751251,-0.1616092324256897","0.4412567913532257,0.3495333790779114,-0.11207954585552216","0.4990149140357971,0.4101470112800598,-0.3328784704208374","0.46289756894111633,0.41154155135154724,-0.32001546025276184","0.6326226592063904,0.6175697445869446,-0.0592154860496521","0.37874600291252136,0.5843377709388733,-0.10506857186555862","0.6563178896903992,0.9223340749740601,-0.059710416942834854","0.24911871552467346,0.7576673030853271,-0.5417457222938538","0.6264501214027405,1.2977850437164307,-0.1544310599565506","0.24783338606357574,0.5425704717636108,-1.2003345489501953","0.6237015128135681,1.4156222343444824,-0.17976386845111847","0.21902719140052795,0.4884048402309418,-1.321343183517456","0.5967432856559753,1.3929338455200195,-0.2123437076807022","0.26094409823417664,0.4515961706638336,-1.31230628490448","0.5904921889305115,1.3530584573745728,-0.17230287194252014","0.28317293524742126,0.4940713346004486,-1.2170672416687012","0.5647063851356506,1.2985423803329468,-0.02485836111009121","0.37870728969573975,1.2653517723083496,0.027315771207213402","0.5376630425453186,1.8169467449188232,-0.04364502802491188","0.366016685962677,1.798147201538086,0.12550020217895508","0.5176175236701965,2.292632579803467,0.24114875495433807","0.35281577706336975,2.2696468830108643,0.42272621393203735","0.5214248895645142,2.358952522277832,0.24577106535434723","0.3491245210170746,2.3292760848999023,0.4436623454093933","0.48131319880485535,2.4450228214263916,-0.12461677193641663","0.36535030603408813,2.448622941970825,0.040801167488098145"
center,"0.47789880633354187,0.35892826318740845,-0.40797847509384155","0.4937173128128052,0.3137158751487732,-0.37707191705703735","0.5050508975982666,0.31422728300094604,-0.37696096301078796","0.5161044001579285,0.3148457407951355,-0.3770189881324768","0.4642501771450043,0.31549400091171265,-0.37038105726242065","0.4555208384990692,0.3173883557319641,-0.370090514421463","0.44656938314437866,0.3200586438179016,-0.3702485263347626","0.5373681783676147,0.34107667207717896,-0.14778980612754822","0.4412313997745514,0.3469911813735962,-0.10448496043682098","0.4994596242904663,0.4087854027748108,-0.3241831064224243","0.46350744366645813,0.40916669368743896,-0.31252890825271606","0.6307337284088135,0.6173617839813232,-0.036106690764427185","0.37698718905448914,0.5805697441101074,-0.1055896058678627","0.6561952829360962,0.9219462871551514,-0.029760919511318207","0.2570054233074188,0.7284787893295288,-0.5359376072883606","0.6201942563056946,1.2948274612426758,-0.13680864870548248","0.2901862859725952,0.5499219298362732,-1.1851779222488403","0.6139837503433228,1.4139633178710938,-0.1651851236820221","0.2544362246990204,0.4939327538013458,-1.3101069927215576","0.5883479714393616,1.3877313137054443,-0.20006881654262543","0.2920630872249603,0.46065983176231384,-1.2920268774032593","0.584071934223175,1.3470845222473145,-0.155606210231781","0.29987969994544983,0.49977225065231323,-1.1972631216049194","0.5645725131034851,1.2845001220703125,-0.020535873249173164","0.37851616740226746,1.251158356666565,0.02305852249264717","0.5375149250030518,1.8097445964813232,-0.03926461935043335","0.3677268922328949,1.7947044372558594,0.11959675699472427","0.516954779624939,2.2914884090423584,0.2610451579093933","0.3530651926994324,2.2664713859558105,0.4270061254501343","0.5210402011871338,2.3584272861480713,0.26808223128318787","0.3490457832813263,2.3259077072143555,0.4488644301891327","0.48068875074386597,2.4432458877563477,-0.09975913912057877","0.3652413487434387,2.444737434387207,0.04262324050068855"
center,"0.48099711537361145,0.35755839943885803,-0.40979060530662537","0.4961670935153961,0.3123150169849396,-0.37912407517433167","0.5067812204360962,0.31301525235176086,-0.37896233797073364","0.5174435377120972,0.3138386011123657,-0.3790273368358612","0.4677688181400299,0.3129485249519348,-0.37296631932258606","0.45934247970581055,0.3145192861557007,-0.37265926599502563","0.45079487562179565,0.31689509749412537,-0.3728123903274536","0.5373625159263611,0.3404799997806549,-0.14855363965034485","0.4419938921928406,0.34532058238983154,-0.10782186686992645","0.5006063580513,0.4078409969806671,-0.32594650983810425","0.4658712148666382,0.40690428018569946,-0.31453943252563477","0.6269592046737671,0.6155397295951843,-0.03615372255444527","0.3757043480873108,0.5781024694442749,-0.11102738976478577","0.6562610864639282,0.9143698811531067,-0.022942615672945976","0.2579680383205414,0.7105194330215454,-0.5327277183532715","0.6201069355010986,1.286381483078003,-0.11594370007514954","0.32362422347068787,0.5565057396888733,-1.1154568195343018","0.6140806078910828,1.4056538343429565,-0.1461363136768341","0.32334181666374207,0.5088485479354858,-1.2385406494140625","0.5884103775024414,1.3837279081344604,-0.18199467658996582","0.35517749190330505,0.4900604784488678,-1.2046840190887451","0.5841110944747925,1.3432027101516724,-0.13516153395175934","0.36264723539352417,0.5205317139625549,-1.1177135705947876","0.5621601343154907,1.269740343093872,-0.01859513856470585","0.37732449173927307,1.2364994287490845,0.02105882577598095","0.5353593230247498,1.7932466268539429,-0.03753436356782913","0.36802735924720764,1.7798397541046143,0.11875874549150467","0.5122407078742981,2.2746806144714355,0.2674773633480072","0.35223907232284546,2.255547046661377,0.4311347007751465","0.5146839022636414,2.3399930000305176,0.2749543786048889","0.34697163105010986,2.315645456314087,0.45368310809135437","0.4777626395225525,2.4287760257720947,-0.09585665166378021","0.36397263407707214,2.4319546222686768,0.045683760195970535"
center,"0.48289379477500916,0.3579542636871338,-0.4159868359565735","0.49757272005081177,0.31237080693244934,-0.38740649819374084","0.5076569318771362,0.31308284401893616,-0.3871585428714752","0.5180127620697021,0.3139389455318451,-0.38724520802497864","0.46963849663734436,0.31295913457870483,-0.3825090527534485","0.46131861209869385,0.314536452293396,-0.382198691368103","0.4530541002750397,0.316921204328537,-0.38230693340301514","0.5373579263687134,0.34053927659988403,-0.15731100738048553","0.44261634349823,0.34523507952690125,-0.12186501920223236","0.5017693042755127,0.4086654484272003,-0.33091428875923157","0.46701446175575256,0.40748611092567444,-0.320672869682312","0.627329409122467,0.6139298677444458,-0.042649708688259125","0.37542909383773804,0.5717265605926514,-0.12181293219327927","0.6562747955322266,0.9093725681304932,-0.03253884240984917","0.2609401345252991,0.7131040692329407,-0.525203287601471","0.6209158301353455,1.2637724876403809,-0.11888764798641205","0.3345303237438202,0.5666252374649048,-1.0504016876220703","0.6168696880340576,1.3759993314743042,-0.14960454404354095","0.34658899903297424,0.5250097513198853,-1.1675981283187866","0.5912556052207947,1.358765721321106,-0.18400372564792633","0.3702637851238251,0.5130783915519714,-1.13176429271698","0.586348831653595,1.321335792541504,-0.13740582764148712","0.38073763251304626,0.5373921394348145,-1.0506902933120728","0.5611032247543335,1.2652405500411987,-0.018669521436095238","0.3770526945590973,1.2324700355529785,0.021131249144673347","0.5339292883872986,1.7861371040344238,-0.023952972143888474","0.3680337369441986,1.7716864347457886,0.12966372072696686","0.508493185043335,2.2642502784729004,0.30257824063301086","0.3506914973258972,2.2468371391296387,0.4625959098339081","0.5100675225257874,2.328479528427124,0.31341353058815","0.3449474275112152,2.3080694675445557,0.4875537157058716","0.4734621047973633,2.4186766147613525,-0.051975004374980927","0.3618781268596649,2.4204797744750977,0.08483760058879852"
